dist,algo,impl,dtype,N,threads,ms,s_per_elem,ns_per_elem,mels_per_s,bytes,GB,GBps,sorted,match_ref,error,blocks,repeats,kernel_ms_avg,kernel_ms_std,total_ms_avg,total_ms_std,verified,dataset
exponential,bitonic,gpu,uint64,1000000,256,5.673502,0.000000,5.673502,176.257990,8000000.000000,0.008000,1.410064,1,1,0.000000,272,3,5.523019,0.012485,5.673502,0.019322,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n1000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bucket_radix,gpu,uint64,1000000,256,18.687003,0.000000,18.687003,53.513128,8000000.000000,0.008000,0.428105,1,1,0.000000,272,3,18.530059,0.471302,18.687003,0.467637,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n1000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,radix,gpu,uint64,10000000,256,52.022962,0.000000,5.202296,192.222811,80000000.000000,0.080000,1.537782,1,1,0.000000,272,3,51.965013,0.280057,52.022962,0.281869,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bitonic,gpu,uint64,10000000,256,100.648447,0.000000,10.064845,99.355731,80000000.000000,0.080000,0.794846,1,1,0.000000,272,3,99.854060,0.085197,100.648447,0.217080,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bucket_radix,gpu,uint64,10000000,256,45.244065,0.000000,4.524407,221.023463,80000000.000000,0.080000,1.768188,1,1,0.000000,272,3,45.124266,0.489272,45.244065,0.484198,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,radix,gpu,uint64,100000000,256,316.137895,0.000000,3.161379,316.317663,800000000.000000,0.800000,2.530541,1,1,0.000000,272,3,316.069876,0.182224,316.137895,0.196264,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bitonic,gpu,uint64,100000000,256,1092.995419,0.000000,10.929954,91.491692,800000000.000000,0.800000,0.731934,1,1,0.000000,272,3,1086.530436,0.052978,1092.995419,1.744068,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bucket_radix,gpu,uint64,100000000,256,322.857642,0.000000,3.228576,309.734034,800000000.000000,0.800000,2.477872,1,1,0.000000,272,3,322.732442,0.472054,322.857642,0.470536,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
staggered,radix,gpu,uint64,10000,256,1.729835,0.000000,172.983533,5.780897,80000.000000,0.000080,0.046247,1,1,0.000000,40,3,1.685835,0.211388,1.729835,0.216028,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bitonic,gpu,uint64,10000,256,0.258595,0.000000,25.859500,38.670508,80000.000000,0.000080,0.309364,1,1,0.000000,40,3,0.238699,0.014991,0.258595,0.019931,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bucket_radix,gpu,uint64,10000,256,2.017403,0.000000,201.740300,4.956868,80000.000000,0.000080,0.039655,1,1,0.000000,40,3,2.001803,0.363771,2.017403,0.364702,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,radix,gpu,uint64,100000,256,14.142987,0.000000,141.429870,7.070642,800000.000000,0.000800,0.056565,1,1,0.000000,272,3,14.093899,0.245142,14.142987,0.255244,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bitonic,gpu,uint64,100000,256,0.452946,0.000000,4.529460,220.776870,800000.000000,0.000800,1.766215,1,1,0.000000,272,3,0.347499,0.008272,0.452946,0.021037,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bucket_radix,gpu,uint64,100000,256,15.078637,0.000000,150.786370,6.631899,800000.000000,0.000800,0.053055,1,1,0.000000,272,3,14.982923,0.436657,15.078637,0.435372,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,radix,gpu,uint64,1000000,256,17.946337,0.000000,17.946337,55.721676,8000000.000000,0.008000,0.445773,1,1,0.000000,272,3,17.893291,0.218365,17.946337,0.222386,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bitonic,gpu,uint64,1000000,256,5.286265,0.000000,5.286265,189.169492,8000000.000000,0.008000,1.513356,1,1,0.000000,272,3,5.103051,0.007771,5.286265,0.016900,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bucket_radix,gpu,uint64,1000000,256,18.545225,0.000000,18.545225,53.922235,8000000.000000,0.008000,0.431378,1,1,0.000000,272,3,18.437494,0.557375,18.545225,0.554317,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,radix,gpu,uint64,10000000,256,52.433375,0.000000,5.243337,190.718222,80000000.000000,0.080000,1.525746,1,1,0.000000,272,3,52.373355,0.327291,52.433375,0.329252,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bitonic,gpu,uint64,10000000,256,94.972718,0.000000,9.497272,105.293396,80000000.000000,0.080000,0.842347,1,1,0.000000,272,3,94.162783,0.002068,94.972718,0.163165,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bucket_radix,gpu,uint64,10000000,256,45.653646,0.000000,4.565365,219.040558,80000000.000000,0.080000,1.752324,1,1,0.000000,272,3,45.533206,0.451212,45.653646,0.444835,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,radix,gpu,uint64,100000000,256,320.228653,0.000000,3.202287,312.276866,800000000.000000,0.800000,2.498215,1,1,0.000000,272,3,320.166655,0.251409,320.228653,0.261296,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bitonic,gpu,uint64,100000000,256,1024.859367,0.000000,10.248594,97.574363,800000000.000000,0.800000,0.780595,1,1,0.000000,272,3,1018.425212,0.012979,1024.859367,1.678496,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bucket_radix,gpu,uint64,100000000,256,325.954453,0.000000,3.259545,306.791330,800000000.000000,0.800000,2.454331,1,1,0.000000,272,3,325.827962,0.208059,325.954453,0.205388,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000000_min0_max4294967295_dtypeuint64_seed42.bin
all_equal,radix,gpu,uint64,10000,256,1.675813,0.000000,167.581267,5.967254,80000.000000,0.000080,0.047738,1,1,0.000000,40,3,1.634027,0.228541,1.675813,0.233921,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/all_equal_n10000_min0_max999999_dtypeuint64_seed42_val0.bin
