dist,algo,impl,dtype,N,threads,ms,s_per_elem,ns_per_elem,mels_per_s,bytes,GB,GBps,sorted,match_ref,error,blocks,repeats,kernel_ms_avg,kernel_ms_std,total_ms_avg,total_ms_std,verified,dataset
gaussian,bucket_radix,gpu,uint64,10000000,256,123.763717,0.000000,12.376372,80.799125,80000000.000000,0.080000,0.646393,1,1,0.000000,64,3,123.749204,0.239120,123.763717,0.240108,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,radix,gpu,uint64,100000000,256,1137.822663,0.000000,11.378227,87.887158,800000000.000000,0.800000,0.703097,1,1,0.000000,64,3,1137.754578,0.167749,1137.822663,0.171729,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n100000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bitonic,gpu,uint64,100000000,256,1198.125019,0.000000,11.981250,83.463744,800000000.000000,0.800000,0.667710,1,1,0.000000,64,3,1190.127563,0.025418,1198.125019,2.137637,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n100000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bucket_radix,gpu,uint64,100000000,256,1223.969359,0.000000,12.239694,81.701392,800000000.000000,0.800000,0.653611,1,1,0.000000,64,3,1223.937907,0.234417,1223.969359,0.232008,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n100000000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
exponential,radix,gpu,uint64,10000,256,1.093567,0.000000,109.356667,9.144390,80000.000000,0.000080,0.073155,1,1,0.000000,40,3,1.048000,0.104925,1.093567,0.105350,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bitonic,gpu,uint64,10000,256,0.281137,0.000000,28.113667,35.569889,80000.000000,0.000080,0.284559,1,1,0.000000,40,3,0.263243,0.007686,0.281137,0.010465,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bucket_radix,gpu,uint64,10000,256,1.208419,0.000000,120.841933,8.275273,80000.000000,0.000080,0.066202,1,1,0.000000,40,3,1.199755,0.243930,1.208419,0.245757,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,radix,gpu,uint64,100000,256,2.029985,0.000000,20.299853,49.261440,800000.000000,0.000800,0.394092,1,1,0.000000,64,3,1.986027,0.112629,2.029985,0.114736,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bitonic,gpu,uint64,100000,256,0.720813,0.000000,7.208133,138.732173,800000.000000,0.000800,1.109857,1,1,0.000000,64,3,0.658581,0.006189,0.720813,0.018770,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bucket_radix,gpu,uint64,100000,256,2.422874,0.000000,24.228740,41.273298,800000.000000,0.000800,0.330186,1,1,0.000000,64,3,2.399008,0.242974,2.422874,0.242035,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
